phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,3.143805248737335,0.35239583333333335,1.8458204213778178,0.6254166666666666,0.001
head,2,1.8755056285858154,0.5789583333333334,1.3868874843915304,0.6745833333333333,0.001
head,3,1.5291080431143442,0.6219791666666666,1.220417665640513,0.68625,0.001
head,4,1.347589896718661,0.6701041666666666,1.1461960327625276,0.6895833333333333,0.001
head,5,1.2375161465009052,0.6811458333333333,1.1274991498390834,0.6875,0.001
finetune,1,1.1008824608723322,0.7182291666666667,1.0278737088044485,0.7179166666666666,0.0001
finetune,2,1.0520773420731226,0.7309375,1.0454734486341477,0.7075,0.0001
finetune,3,0.9894914291302364,0.7417708333333334,0.9939238520463308,0.7170833333333333,0.0001
finetune,4,0.9499831829468409,0.7491666666666666,1.013493078549703,0.7083333333333334,0.0001
finetune,5,0.913809626698494,0.7615625,0.9878484737873078,0.7183333333333334,0.0001
finetune,6,0.8801910241444906,0.7669791666666667,0.9535940229892731,0.7258333333333333,0.0001
finetune,7,0.8597679515679677,0.7659375,0.939581027229627,0.7291666666666666,0.0001
finetune,8,0.8379191734393437,0.7733333333333333,0.9481833229462305,0.7266666666666667,0.0001
finetune,9,0.8252902672688166,0.780625,0.9448014465967814,0.7258333333333333,0.0001
finetune,10,0.8039325753847758,0.78875,0.9300144384304683,0.7275,0.0001
