phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,2.961387923558553,0.34760416666666666,1.5713185199101767,0.6141666666666666,0.001
head,2,1.5993714725971222,0.5973958333333333,1.150781877040863,0.6754166666666667,0.001
head,3,1.3016740129391353,0.6539583333333333,1.02986993988355,0.6966666666666667,0.001
head,4,1.1704178402821224,0.6732291666666667,0.9647376418113709,0.71125,0.001
head,5,1.072385866244634,0.6919791666666667,0.9627456577618917,0.7208333333333333,0.001
finetune,1,0.9370887732505798,0.7258333333333333,0.8667074702183406,0.735,0.0001
finetune,2,0.7190953824917475,0.7929166666666667,0.8597840269406637,0.7458333333333333,0.0001
finetune,3,0.584491934676965,0.8336458333333333,0.8674440491199493,0.7333333333333333,0.0001
finetune,4,0.48511398007472356,0.863125,0.870947449405988,0.735,0.0001
finetune,5,0.3992714345951875,0.895625,0.8630309547980627,0.7395833333333334,1e-05
finetune,6,0.3014786776403586,0.9289583333333333,0.8318794824679693,0.7479166666666667,1e-05
finetune,7,0.2631412867208322,0.9454166666666667,0.8233760460217794,0.7520833333333333,1e-05
finetune,8,0.2506775039434433,0.9488541666666667,0.8221665569146475,0.7566666666666667,1e-05
finetune,9,0.2432979980111122,0.950625,0.8255425222714742,0.7570833333333333,1e-05
finetune,10,0.23429251320660113,0.9542708333333333,0.8214028553167979,0.75625,1e-05
