phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,3.1589271771907805,0.3491666666666667,1.8014633218447367,0.6425,0.001
head,2,1.8759663315614064,0.5789583333333334,1.3994864559173583,0.6666666666666666,0.001
head,3,1.5343689133723577,0.6244791666666667,1.2346934103965759,0.6908333333333333,0.001
head,4,1.3651660160223642,0.6580208333333334,1.1392539842923481,0.7029166666666666,0.001
head,5,1.2451108193397522,0.6798958333333334,1.0909484950701396,0.7108333333333333,0.001
finetune,1,1.1028195826212566,0.7173958333333333,1.0259559992949168,0.71875,0.0001
finetune,2,1.0722820830345154,0.7213541666666666,1.0042537486553191,0.7191666666666666,0.0001
finetune,3,1.0112110787630082,0.7309375,0.9756399420897166,0.7245833333333334,0.0001
finetune,4,0.973248905936877,0.7396875,0.994175614118576,0.7158333333333333,0.0001
finetune,5,0.9255723756551743,0.7570833333333333,0.9508830078442891,0.7283333333333334,0.0001
finetune,6,0.8918450073401133,0.7620833333333333,0.9356509125232697,0.7279166666666667,0.0001
finetune,7,0.8780445674061775,0.765625,0.9308856983979543,0.7270833333333333,0.0001
finetune,8,0.8436714739600817,0.7736458333333334,0.9314658502737682,0.73,0.0001
finetune,9,0.8195654321710268,0.7827083333333333,0.9307853074868521,0.735,0.0001
finetune,10,0.8115746043125789,0.7805208333333333,0.9078752521673839,0.73875,0.0001
