phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,2.970362464984258,0.3428125,1.5883799235026042,0.5970833333333333,0.001
head,2,1.609369502266248,0.5970833333333333,1.1550875202814739,0.67125,0.001
head,3,1.30260262688001,0.6514583333333334,1.037540473540624,0.6895833333333333,0.001
head,4,1.1669862139225007,0.6734375,0.9508080065250397,0.7070833333333333,0.001
head,5,1.0793008454640707,0.6902083333333333,0.9516273554166158,0.7129166666666666,0.001
finetune,1,0.9853106410304705,0.7177083333333333,0.8438243901729584,0.74,0.0001
finetune,2,0.740706732471784,0.7875,0.8358931773900986,0.7433333333333333,0.0001
finetune,3,0.6127838326493898,0.8234375,0.8350224059820175,0.7433333333333333,0.0001
finetune,4,0.5145096856852373,0.8604166666666667,0.8445280949274699,0.7475,0.0001
finetune,5,0.43267185350259146,0.88625,0.8530314735571544,0.7316666666666667,0.0001
finetune,6,0.3631766872604688,0.9120833333333334,0.8575147235393524,0.74125,1e-05
finetune,7,0.26076461424430214,0.9459375,0.8126783712704977,0.7591666666666667,1e-05
finetune,8,0.2359665491928657,0.9525,0.7973739459117254,0.7608333333333334,1e-05
finetune,9,0.22942146293818952,0.95875,0.8041111510992051,0.7558333333333334,1e-05
finetune,10,0.22040688253939153,0.9566666666666667,0.793101915717125,0.7579166666666667,1e-05
