phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,3.1508645848433177,0.35354166666666664,1.7760824418067933,0.635,0.001
head,2,1.8796278337637584,0.5773958333333333,1.3475597139199575,0.6641666666666667,0.001
head,3,1.526528192361196,0.6294791666666667,1.212062109708786,0.6854166666666667,0.001
head,4,1.3533108850320181,0.6560416666666666,1.1319299403826395,0.6945833333333333,0.001
head,5,1.2525416912635168,0.6825,1.0777887900670369,0.7054166666666667,0.001
finetune,1,1.1068189839522045,0.7171875,1.0130403526624043,0.7116666666666667,0.0001
finetune,2,1.0506895921627681,0.7338541666666667,1.0148590751489004,0.70875,0.0001
finetune,3,1.0006341085831325,0.7413541666666666,0.9758097036679586,0.7133333333333334,0.0001
finetune,4,0.9666685273249944,0.7514583333333333,0.9875040964285533,0.7108333333333333,0.0001
finetune,5,0.9223428579171499,0.7541666666666667,0.9666368365287781,0.71625,0.0001
finetune,6,0.8830974699060122,0.7633333333333333,0.9405536353588104,0.7220833333333333,0.0001
finetune,7,0.8711125199993451,0.7648958333333333,0.9158408832550049,0.7320833333333333,0.0001
finetune,8,0.841717026134332,0.7717708333333333,0.9141276339689891,0.72625,0.0001
finetune,9,0.8269135424494743,0.7782291666666666,0.9458537781238556,0.7183333333333334,0.0001
finetune,10,0.8058083275953929,0.7860416666666666,0.9053940268357595,0.7316666666666667,0.0001
