phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,2.959564722776413,0.34729166666666667,1.583637912273407,0.5975,0.001
head,2,1.6065640795230864,0.59,1.1320733312765758,0.69125,0.001
head,3,1.2969244647026061,0.6547916666666667,1.0096399025122325,0.7020833333333333,0.001
head,4,1.1649271450440088,0.6732291666666667,0.9465567358334859,0.7175,0.001
head,5,1.08913523375988,0.6832291666666667,0.9425582750638326,0.71625,0.001
finetune,1,0.9581140434741974,0.7216666666666667,0.8203881188233694,0.7529166666666667,0.0001
finetune,2,0.7277799265583357,0.7888541666666666,0.8133275055885315,0.7475,0.0001
finetune,3,0.595369773755471,0.8333333333333334,0.8056169625123342,0.7545833333333334,0.0001
finetune,4,0.49511502077182135,0.8636458333333333,0.8035043094555537,0.7570833333333333,0.0001
finetune,5,0.40720076272885003,0.8938541666666666,0.8166983278592428,0.7608333333333334,0.0001
finetune,6,0.35315423960487047,0.9113541666666667,0.8436291412512461,0.74375,0.0001
finetune,7,0.3021714392801126,0.9239583333333333,0.8537620274225871,0.7416666666666667,1e-05
finetune,8,0.22065100848674774,0.9558333333333333,0.8018731647729873,0.7629166666666667,1e-05
finetune,9,0.19823597696920237,0.9652083333333333,0.7966382467746734,0.7658333333333334,1e-05
finetune,10,0.18557724418739477,0.9671875,0.7913009818394979,0.7691666666666667,1e-05
