model,fold,head_best_val_loss,head_best_epoch,finetune_best_val_loss,finetune_best_epoch,training_time_seconds,training_time_minutes,device
mobilenet_v2,0,1.2149989227453868,5,1.0244658358891805,10,1437.0005702972412,23.95000950495402,cpu
mobilenet_v2,1,1.20362868865331,5,1.0155238684018453,5,1489.591243982315,24.826520733038585,cpu
mobilenet_v2,2,1.1997734904289246,5,1.0174145487944286,10,1483.8586010932922,24.730976684888205,cpu
mobilenet_v2,3,1.182983977595965,5,0.9951734660069148,9,1494.4720649719238,24.907867749532063,cpu
mobilenet_v2,4,1.214407168229421,5,1.0186290510495504,10,1488.6223802566528,24.810373004277547,cpu
efficientnet_b0,0,1.1274991498390834,5,0.9300144384304683,10,1644.5552735328674,27.409254558881123,cpu
efficientnet_b0,1,1.0909484950701396,5,0.9078752521673839,10,1630.0930054187775,27.168216756979625,cpu
efficientnet_b0,2,1.1244938695430755,5,0.9301247584819794,10,1628.4689049720764,27.141148416201272,cpu
efficientnet_b0,3,1.130480217138926,5,0.9350361255804698,10,1620.6389837265015,27.010649728775025,cpu
efficientnet_b0,4,1.0777887900670369,5,0.9053940268357595,10,1633.7291240692139,27.228818734486897,cpu
resnet18,0,0.9627456577618917,5,0.8214028553167979,10,1810.3770642280579,30.17295107046763,cpu
resnet18,1,0.9425582750638326,5,0.7913009818394979,10,1810.3706676959991,30.172844461599986,cpu
resnet18,2,0.9340063478549322,5,0.8029002769788106,10,1804.4143364429474,30.073572274049123,cpu
resnet18,3,0.9433947255214056,5,0.7825710713863373,10,1814.492024898529,30.241533748308818,cpu
resnet18,4,0.9508080065250397,4,0.793101915717125,10,1810.5348286628723,30.17558047771454,cpu
