model,fold,best_epoch,train_loss,train_acc,val_loss,val_acc,lr
mobilenet_v2,0,10,0.7549611921111743,0.7927083333333333,1.0244658358891805,0.6975,0.0001
mobilenet_v2,1,5,0.8940690061450005,0.7554166666666666,1.0155238684018453,0.7033333333333334,0.0001
mobilenet_v2,2,10,0.7550507201751073,0.7934375,1.0174145487944286,0.6916666666666667,0.0001
mobilenet_v2,3,9,0.7950606112678845,0.7773958333333333,0.9951734660069148,0.70125,0.0001
mobilenet_v2,4,10,0.7594557225704193,0.7908333333333334,1.0186290510495504,0.7054166666666667,0.0001
efficientnet_b0,0,10,0.8039325753847758,0.78875,0.9300144384304684,0.7275,0.0001
efficientnet_b0,1,10,0.8115746043125789,0.7805208333333333,0.907875252167384,0.73875,0.0001
efficientnet_b0,2,10,0.8011594826976458,0.7855208333333333,0.9301247584819794,0.7258333333333333,0.0001
efficientnet_b0,3,10,0.8008322622378667,0.7885416666666667,0.9350361255804698,0.73,0.0001
efficientnet_b0,4,10,0.8058083275953929,0.7860416666666666,0.9053940268357596,0.7316666666666667,0.0001
resnet18,0,10,0.2342925132066011,0.9542708333333332,0.8214028553167979,0.75625,1e-05
resnet18,1,10,0.1855772441873947,0.9671875,0.7913009818394979,0.7691666666666667,1e-05
resnet18,2,10,0.2320797069619099,0.9561458333333334,0.8029002769788106,0.7595833333333334,1e-05
resnet18,3,10,0.2063325983782609,0.9639583333333334,0.7825710713863373,0.7604166666666666,1e-05
resnet18,4,10,0.2204068825393915,0.9566666666666668,0.793101915717125,0.7579166666666667,1e-05
